cell_line,fold,roc_auc,average_precision,f1_score,recall,precision,primary_metric,quantile
K-562,3,0.8537543416023254,0.575278639793396,0.6748960018157959,0.8468184471130371,0.6152657866477966,,0.005
K-562,2,0.8571072816848755,0.5724046230316162,0.6720510721206665,0.8408550024032593,0.6139377951622009,,0.005
K-562,2,0.8571072816848755,0.5724046230316162,0.6720510721206665,0.8408550024032593,0.6139377951622009,,0.01
hTERT-RPE1,3,0.8283491134643555,0.5602174401283264,0.655276358127594,0.8300271034240723,0.6000405550003052,,0.01
hTERT-RPE1,0,0.8200749754905701,0.557386040687561,0.6494934558868408,0.8334802985191345,0.5941306352615356,,0.01
hTERT-RPE1,2,0.8264062404632568,0.5742917060852051,0.6699573993682861,0.8333437442779541,0.6146447658538818,,0.01
Jurkat,1,0.7862785458564758,0.5218759775161743,0.6020922064781189,0.834882378578186,0.5480648279190063,,0.01
K-562,1,0.8596050143241882,0.5704492926597595,0.6688788533210754,0.8462055325508118,0.6104694604873657,,0.01
Jurkat,2,0.7924095988273621,0.517880380153656,0.5974858403205872,0.8377408981323242,0.5425131916999817,,0.01
K-562,3,0.8537543416023254,0.575278639793396,0.6748960018157959,0.8468184471130371,0.6152657866477966,,0.01
K-562,0,0.8502533435821533,0.5514118075370789,0.6481797099113464,0.8459947109222412,0.587843656539917,,0.01
K-562,4,0.859100341796875,0.5760237574577332,0.675779402256012,0.8495985865592957,0.6149134635925293,,0.01
Hep-G2,1,0.797427773475647,0.5631996393203735,0.6492989659309387,0.8401129841804504,0.596869945526123,,0.01
Hep-G2,0,0.7930061221122742,0.555481493473053,0.6402020454406738,0.8439174890518188,0.5850011110305786,,0.01
Hep-G2,2,0.7968584299087524,0.5588878393173218,0.6453260779380798,0.8371214866638184,0.5921658277511597,,0.01
hTERT-RPE1,4,0.8119201064109802,0.5727592706680298,0.6639019846916199,0.8349542617797852,0.6107646822929382,,0.01
hTERT-RPE1,1,0.8096086382865906,0.5679133534431458,0.6594989895820618,0.8318968415260315,0.6060103178024292,,0.01
Jurkat,0,0.787813127040863,0.5127369165420532,0.589099109172821,0.8415263891220093,0.5348995327949524,,0.01
Hep-G2,4,0.7974017858505249,0.574327826499939,0.6625626087188721,0.8439497351646423,0.608893096446991,,0.01
Jurkat,4,0.7870209217071533,0.5192587375640869,0.5978507995605469,0.8375303745269775,0.5443382859230042,,0.01
Hep-G2,3,0.8025304079055786,0.5608279705047607,0.6482288241386414,0.8419837951660156,0.5935680270195007,,0.01
Jurkat,3,0.8127568364143372,0.5233468413352966,0.6084059476852417,0.8384576439857483,0.5504179000854492,,0.01
